entity_type,canonical_name,match_score,status,source_url
startup,Pushary,0.6154,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Intrascope.app,0.4762,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,ProblemHunt,0.4762,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,MindPal,0.6667,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Poke.com,0.5333,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,TwelveLabs,0.8,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Ovren,0.5455,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Github Copilot,0.6316,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,KAYAK,0.4,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,CoSupport AI,0.5,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Inrō,0.4444,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Flexprice,0.5333,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Pilot,0.5455,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Amarsia,0.5,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Brew,0.4,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Agentmemory,0.5263,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Free AI Video Editor OpenCutAI,0.375,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Grok AI assistant,0.3571,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Querri,0.5,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Manna,0.6,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,NudgeFile,0.4286,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Okibi,0.3636,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Meku,0.4,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Leni,0.6667,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Chronicle,0.5556,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,ResumeUp.AI,0.5,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Glam AI,0.625,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,TypingMind - Chat UI for LLMs,0.375,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,ExploreYC,0.4444,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Slashit App,0.4762,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Noodle Seed,0.5833,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Unabyss,0.6154,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Descript,0.6154,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Documentation.AI,0.5714,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Layercode,0.5333,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Littlebird,0.4444,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,rolyai,0.5333,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Clueso,0.6667,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Extella AI,0.6667,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Figma,1.0,matched,https://webclaw.io/data/startups/ai/llms.txt
startup,Gitmore,0.4706,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Oxlo.ai,0.6667,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Buddy AI Note,0.4211,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,1x,0.4,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Command AI,0.5714,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Invoke,0.5714,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Branda,0.5455,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Daily.co,0.5,unmatched,https://webclaw.io/data/startups/ai/llms.txt
startup,Den,0.5,unmatched,https://webclaw.io/data/startups/ai/llms.txt
